Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG
1985-05,5.09,-2.31,-0.96,1.33,-1.49,0.66,3.99,-1.6963,-1.1269,3.2405,1.5343
1985-06,1.27,0.35,0.38,1.76,-0.77,0.55,3.57,-0.5336,-0.1719,2.8203,1.7054
1985-07,-0.74,2.87,-1.62,-0.42,-0.38,0.62,-3.91,2.3597,-0.718,-1.7551,1.3672
1985-08,-1.02,-0.29,2.32,-0.1,1.83,0.55,1.85,-0.1466,2.0278,0.4445,1.0229
1985-09,-4.54,-1.8,1.29,1.14,1.64,0.6,1.51,-1.8332,1.9335,1.1424,1.7368
1985-10,4.02,-1.5,0.75,0.89,-1.06,0.65,4.88,-0.2573,0.2661,2.21,2.8835
1985-11,6.48,0.02,-2.85,0.33,-2.32,0.61,-0.47,-0.2249,-1.682,1.7623,-0.9011
1985-12,3.88,-0.41,-1.54,0.99,-1.8,0.65,-0.23,0.2499,-1.4596,1.6959,-0.9985
1986-01,0.65,1.01,0.44,-2.0,-2.03,0.56,3.0,1.1173,-0.724,1.6676,1.7846
1986-02,7.13,-0.71,-0.72,1.06,-1.2,0.53,2.76,-0.4266,-1.3847,2.2307,0.7408
1986-03,4.88,-0.66,-0.39,1.21,0.92,0.6,2.41,0.5853,1.2226,2.0063,1.6661
1986-04,-1.31,2.84,-2.87,2.91,0.03,0.52,-0.37,1.0642,-1.5692,0.628,-0.0194
1986-05,4.62,-1.29,-0.21,2.13,1.08,0.49,2.05,-1.1843,1.3302,3.3736,0.9855
1986-06,1.03,-0.89,1.28,1.8,0.87,0.52,5.07,-0.2493,1.7528,5.2824,0.8718
1986-07,-6.45,-3.46,4.7,-0.54,0.84,0.52,1.83,-2.6442,1.4526,3.1619,2.8576
1986-08,6.07,-4.35,3.51,-1.66,3.21,0.46,-5.28,-4.4253,3.0245,-2.7297,1.6651
1986-09,-8.6,2.05,3.22,-0.08,3.71,0.45,-5.79,0.6344,3.2313,-3.9524,-0.3259
1986-10,4.66,-2.33,-1.42,-0.05,1.0,0.46,4.46,-1.7298,0.5689,1.4996,0.6009
1986-11,1.17,-1.88,-0.07,1.09,0.67,0.39,-0.26,-1.9743,0.4243,1.1473,3.7063
1986-12,-3.27,0.12,0.36,0.79,0.09,0.49,0.35,0.8393,1.0661,1.8831,1.6472
1987-01,12.47,-1.54,-3.16,0.17,-1.0,0.42,2.2,-1.23,-1.2538,0.9991,2.9428
